,loss,accuracy_score_test,precision_score_test,recall_score_test,f1_score_test,f0.5_score_test,f2_score_test,r2_score_test,cohen_kappa_score,hamming_loss,jaccard_score,type
31/12/2014,-0.584753363,0.584753363,0.584753363,0.584753363,0.584753363,0.584753363,0.584753363,-0.193325794,0.330523992,0.415246637,0.379944764,qoq
31/3/2015,-0.544571933,0.544571933,0.544571933,0.544571933,0.544571933,0.544571933,0.544571933,-0.237831045,0.312017812,0.455428067,0.369242295,qoq
30/6/2015,-0.498251748,0.498251748,0.498251748,0.498251748,0.498251748,0.498251748,0.498251748,-0.321087921,0.252516537,0.501748252,0.329902194,qoq
30/9/2015,-0.532928943,0.532928943,0.532928943,0.532928943,0.532928943,0.532928943,0.532928943,-0.235530597,0.293250494,0.467071057,0.357064432,qoq
31/12/2015,-0.563903282,0.563903282,0.563903282,0.563903282,0.563903282,0.563903282,0.563903282,-0.284115814,0.317532525,0.436096718,0.369457775,qoq
31/3/2016,-0.558239862,0.558239862,0.558239862,0.558239862,0.558239862,0.558239862,0.558239862,-0.27525157,0.330415365,0.441760138,0.379866064,qoq
30/6/2016,-0.535344828,0.535344828,0.535344828,0.535344828,0.535344828,0.535344828,0.535344828,-0.248010617,0.306765478,0.464655172,0.362506078,qoq
30/9/2016,-0.543103448,0.543103448,0.543103448,0.543103448,0.543103448,0.543103448,0.543103448,-0.260302757,0.314309168,0.456896552,0.369205958,qoq
31/12/2016,-0.562770563,0.562770563,0.562770563,0.562770563,0.562770563,0.562770563,0.562770563,-0.238400655,0.334325858,0.437229437,0.382013998,qoq
31/3/2017,-0.547577855,0.547577855,0.547577855,0.547577855,0.547577855,0.547577855,0.547577855,-0.260123,0.319869191,0.452422145,0.371970182,qoq
30/6/2017,-0.518518519,0.518518519,0.518518519,0.518518519,0.518518519,0.518518519,0.518518519,-0.247292154,0.284983529,0.481481481,0.349611568,qoq
30/9/2017,-0.425366695,0.425366695,0.425366695,0.425366695,0.425366695,0.425366695,0.425366695,-0.625417819,0.146957802,0.574633305,0.268845449,qoq
31/12/2017,-0.455729167,0.455729167,0.455729167,0.455729167,0.455729167,0.455729167,0.455729167,-0.592191926,0.182240578,0.544270833,0.290454691,qoq
30/9/2015,-0.426900585,0.426900585,0.426900585,0.426900585,0.426900585,0.426900585,0.426900585,-0.643363137,0.122655123,0.573099415,0.260523957,yoy
31/12/2015,-0.424023155,0.424023155,0.424023155,0.424023155,0.424023155,0.424023155,0.424023155,-0.763859901,0.108826255,0.575976845,0.260215862,yoy
31/3/2016,-0.422857143,0.422857143,0.422857143,0.422857143,0.422857143,0.422857143,0.422857143,-0.725843127,0.122670952,0.577142857,0.264061101,yoy
30/6/2016,-0.384291725,0.384291725,0.384291725,0.384291725,0.384291725,0.384291725,0.384291725,-0.769940951,0.067923899,0.615708275,0.23270255,yoy
30/9/2016,-0.414937759,0.414937759,0.414937759,0.414937759,0.414937759,0.414937759,0.414937759,-0.626593285,0.119021625,0.585062241,0.256333058,yoy
31/12/2016,-0.381147541,0.381147541,0.381147541,0.381147541,0.381147541,0.381147541,0.381147541,-0.808531655,0.070031719,0.618852459,0.222086535,yoy
31/3/2017,-0.45392022,0.45392022,0.45392022,0.45392022,0.45392022,0.45392022,0.45392022,-0.430998544,0.185878776,0.54607978,0.290823398,yoy
30/6/2017,-0.454421769,0.454421769,0.454421769,0.454421769,0.454421769,0.454421769,0.454421769,-0.365073961,0.190788661,0.545578231,0.291823174,yoy
30/9/2017,-0.423913043,0.423913043,0.423913043,0.423913043,0.423913043,0.423913043,0.423913043,-0.514803785,0.141544573,0.576086957,0.265065952,yoy
31/12/2017,-0.358695652,0.358695652,0.358695652,0.358695652,0.358695652,0.358695652,0.358695652,-1.452199072,0.063961415,0.641304348,0.205379294,yoy
30/9/2015,-0.42251462,0.42251462,0.42251462,0.42251462,0.42251462,0.42251462,0.42251462,-0.542307988,0.13045997,0.57748538,0.260161186,yoy_rolling
31/12/2015,-0.399421129,0.399421129,0.399421129,0.399421129,0.399421129,0.399421129,0.399421129,-0.559803299,0.097491046,0.600578871,0.241951828,yoy_rolling
31/3/2016,-0.395714286,0.395714286,0.395714286,0.395714286,0.395714286,0.395714286,0.395714286,-0.581768498,0.099901509,0.604285714,0.241101132,yoy_rolling
30/6/2016,-0.375876578,0.375876578,0.375876578,0.375876578,0.375876578,0.375876578,0.375876578,-0.762313655,0.065205927,0.624123422,0.226263395,yoy_rolling
30/9/2016,-0.362378976,0.362378976,0.362378976,0.362378976,0.362378976,0.362378976,0.362378976,-0.834945237,0.053842223,0.637621024,0.218782336,yoy_rolling
31/12/2016,-0.367486339,0.367486339,0.367486339,0.367486339,0.367486339,0.367486339,0.367486339,-0.830020758,0.066403689,0.632513661,0.217138694,yoy_rolling
31/3/2017,-0.372764787,0.372764787,0.372764787,0.372764787,0.372764787,0.372764787,0.372764787,-0.761389834,0.07923564,0.627235213,0.223152202,yoy_rolling
30/6/2017,-0.391836735,0.391836735,0.391836735,0.391836735,0.391836735,0.391836735,0.391836735,-0.666858989,0.099309154,0.608163265,0.233746823,yoy_rolling
30/9/2017,-0.385869565,0.385869565,0.385869565,0.385869565,0.385869565,0.385869565,0.385869565,-0.754076471,0.075268937,0.614130435,0.224044137,yoy_rolling
31/12/2017,-0.40625,0.40625,0.40625,0.40625,0.40625,0.40625,0.40625,-0.555710355,0.09670679,0.59375,0.238260415,yoy_rolling