feature_name,importance,%/Sum(importance)
xintq_qoq_lag19,200,0.036%
aoq_atq_lag02,199,0.036%
cheq_atq_lag05,199,0.036%
txtq_qoq_lag08,199,0.036%
xsgaq_yoy_lag11,199,0.036%
oancfy_q_qoq_lag18,199,0.036%
chechy_q_revtq_lag01,198,0.036%
rectq_atq_lag02,198,0.036%
chechy_q_revtq_lag02,198,0.036%
nopiq_qoq_lag06,198,0.036%
dlttq_yoy_lag09,198,0.036%
ppentq_yoy_lag13,198,0.036%
xintq_yoy_lag13,198,0.036%
oancfy_q_yoy_lag14,198,0.036%
ppentq_yoy_lag14,198,0.036%
capxy_q_revtq_lag15,198,0.036%
wcapq_qoq_lag17,198,0.036%
cogsq_yoy_lag17,198,0.036%
xsgaq_revtq_lag17,198,0.036%
invtq_qoq_lag07,197,0.036%
oancfy_q_qoq_lag08,197,0.036%
nopiq_revtq_lag09,197,0.036%
invtq_yoy_lag18,197,0.036%
dpactq_qoq_lag16,196,0.036%
dpactq_yoy_lag16,196,0.036%
oancfy_q_yoy_lag16,196,0.036%
rectq_atq_lag17,196,0.036%
dpactq_revtq_lag17,196,0.036%
atq_qoq_lag18,196,0.036%
oancfy_q_revtq_lag19,196,0.036%
nopiq_yoy_lag10,195,0.036%
acoq_yoy_lag13,195,0.036%
atq_yoy_lag02,194,0.035%
dlttq_yoy_lag07,194,0.035%
txtq_qoq_lag09,194,0.035%
capxy_q_revtq_lag10,194,0.035%
req_qoq_lag16,194,0.035%
cogsq_revtq_lag16,194,0.035%
oancfy_q_yoy_lag18,194,0.035%
txtq_revtq_lag18,194,0.035%
invtq_yoy_lag08,193,0.035%
ltq_yoy_lag15,193,0.035%
acoq_atq_lag15,193,0.035%
actq_qoq_lag09,192,0.035%
req_yoy_lag12,192,0.035%
dlcq_atq_lag14,192,0.035%
rectq_atq_lag14,192,0.035%
cheq_atq_lag08,191,0.035%
invtq_qoq_lag09,191,0.035%
xoprq_revtq_lag13,191,0.035%
oancfy_q_revtq_lag14,191,0.035%
txtq_qoq_lag18,191,0.035%
atq_yoy_lag05,190,0.035%
req_yoy_lag15,190,0.035%
txtq_qoq_lag17,190,0.035%
spiq_revtq_lag02,189,0.034%
atq_yoy_lag03,189,0.034%
dpactq_qoq_lag05,189,0.034%
oibdpq_qoq_lag05,189,0.034%
dpactq_qoq_lag09,189,0.034%
aoq_atq_lag11,189,0.034%
txtq_qoq_lag16,189,0.034%
txpq_yoy_lag03,188,0.034%
lctq_atq_lag04,188,0.034%
dvy_q_qoq_lag05,188,0.034%
cogsq_revtq_lag09,188,0.034%
aoq_atq_lag12,188,0.034%
txtq_yoy_lag15,188,0.034%
stkcoq_qoq_lag02,187,0.034%
ancq_yoy_lag04,187,0.034%
nopiq_yoy_lag06,187,0.034%
chechy_q_revtq_lag07,187,0.034%
oancfy_q_yoy_lag09,187,0.034%
ancq_yoy_lag11,187,0.034%
dlcq_atq_lag11,187,0.034%
xsgaq_revtq_lag13,187,0.034%
req_qoq_lag08,186,0.034%
invtq_yoy_lag12,186,0.034%
dpactq_qoq_lag19,186,0.034%
ltq_atq_lag19,186,0.034%
stkcoq_yoy_lag01,185,0.034%
ivltq_yoy_lag08,185,0.034%
rectq_atq_lag09,185,0.034%
req_qoq_lag10,185,0.034%
invtq_yoy_lag11,185,0.034%
aoq_atq_lag14,185,0.034%
niq_qoq_lag16,184,0.034%
dlttq_yoy_lag17,184,0.034%
dlttq_yoy_lag18,184,0.034%
rectq_atq_lag18,184,0.034%
txtq_revtq_lag04,183,0.033%
dpactq_qoq_lag11,183,0.033%
invtq_yoy_lag15,183,0.033%
actq_qoq_lag16,183,0.033%
xintq_revtq_lag19,183,0.033%
stkcoq_yoy_lag02,182,0.033%
dpactq_qoq_lag04,182,0.033%
chechy_q_revtq_lag08,182,0.033%
dlcq_yoy_lag09,182,0.033%
nopiq_qoq_lag10,182,0.033%
xintq_yoy_lag15,182,0.033%
ppentq_yoy_lag17,182,0.033%
revtq,181,0.033%
invtq_yoy_lag04,181,0.033%
rectq_atq_lag16,181,0.033%
dpactq_revtq_lag01,180,0.033%
txtq_revtq_lag05,180,0.033%
niq_qoq_lag09,180,0.033%
acoq_atq_lag09,180,0.033%
aoq_atq_lag08,179,0.033%
dlttq_yoy_lag10,179,0.033%
req_yoy_lag13,179,0.033%
nopiq_qoq_lag17,179,0.033%
req_qoq_lag19,179,0.033%
cheq_atq_lag11,178,0.032%
dpactq_qoq_lag12,178,0.032%
chechy_q_revtq_lag13,178,0.032%
lltq_yoy_lag14,178,0.032%
dlcq_atq_lag15,178,0.032%
chechy_q_revtq_lag18,178,0.032%
xoprq_revtq_lag18,178,0.032%
req_yoy_lag04,177,0.032%
dlcq_atq_lag04,177,0.032%
dlttq_yoy_lag05,177,0.032%
niq_revtq_lag06,177,0.032%
stkcoq_revtq,176,0.032%
rectq_atq_lag04,176,0.032%
atq_qoq_lag15,176,0.032%
xoprq_revtq_lag15,176,0.032%
oibdpq_revtq_lag01,175,0.032%
dlcq_atq_lag03,175,0.032%
req_qoq_lag13,175,0.032%
oibdpq_qoq_lag17,175,0.032%
req_qoq_lag05,174,0.032%
capxy_q_revtq_lag08,173,0.032%
oancfy_q_revtq_lag09,173,0.032%
oancfy_q_revtq_lag15,173,0.032%
atq_yoy_lag17,173,0.032%
ltq_atq_lag02,172,0.031%
dpactq_qoq_lag06,172,0.031%
oancfy_q_qoq_lag07,172,0.031%
acoq_atq_lag07,172,0.031%
nopiq_qoq_lag15,172,0.031%
acoq_atq_lag05,171,0.031%
xoprq_revtq_lag08,171,0.031%
txtq_revtq_lag14,171,0.031%
chechy_q_revtq_lag17,171,0.031%
xoprq_revtq_lag17,171,0.031%
req_qoq_lag04,170,0.031%
ancq_atq_lag04,170,0.031%
aoq_atq_lag10,170,0.031%
ppentq_yoy_lag15,170,0.031%
dvy_q_qoq_lag16,170,0.031%
cogsq_revtq_lag05,169,0.031%
cogsq_revtq_lag07,169,0.031%
cogsq_revtq_lag11,169,0.031%
fincfy_q_revtq_lag11,169,0.031%
niq_revtq_lag12,169,0.031%
chechy_q_revtq_lag14,169,0.031%
cogsq_revtq_lag06,168,0.031%
dlttq_yoy_lag08,168,0.031%
atq_yoy_lag10,168,0.031%
seqq_atq_lag10,168,0.031%
niq_revtq_lag13,168,0.031%
cheq_atq_lag06,167,0.030%
xintq_revtq_lag09,167,0.030%
oancfy_q_qoq_lag10,167,0.030%
oibdpq_qoq_lag10,167,0.030%
atq_yoy_lag11,167,0.030%
niq_revtq_lag16,167,0.030%
oancfy_q_qoq_lag02,166,0.030%
txpq_yoy_lag07,166,0.030%
oancfy_q_qoq_lag15,166,0.030%
txtq_qoq_lag15,166,0.030%
oancfy_q_qoq_lag19,166,0.030%
req_atq_lag19,166,0.030%
dvy_q_qoq_lag04,165,0.030%
acoq_atq_lag10,165,0.030%
xoprq_revtq_lag11,165,0.030%
txpq_atq_lag17,165,0.030%
chechy_q_revtq_lag10,164,0.030%
lctq_atq_lag13,164,0.030%
dpactq_yoy_lag03,163,0.030%
oancfy_q_revtq_lag08,163,0.030%
txpq_qoq_lag14,163,0.030%
invtq_yoy_lag17,163,0.030%
stkcoq_revtq_lag01,162,0.030%
dpq_revtq_lag07,162,0.030%
req_qoq_lag12,162,0.030%
req_qoq_lag18,162,0.030%
seqq_atq_lag19,162,0.030%
invtq_yoy_lag06,161,0.029%
dpactq_revtq_lag09,161,0.029%
txpq_atq_lag11,161,0.029%
atq_yoy_lag14,161,0.029%
req_yoy_lag18,161,0.029%
oibdpq_revtq_lag19,161,0.029%
invtq_qoq_lag06,160,0.029%
revtq_lag07,160,0.029%
aoq_atq_lag16,160,0.029%
dvy_q_qoq_lag06,159,0.029%
invtq_qoq_lag14,159,0.029%
dpactq_revtq_lag16,159,0.029%
xsgaq_revtq_lag16,159,0.029%
invtq_qoq_lag18,159,0.029%
dpactq_qoq_lag02,158,0.029%
dpq_revtq_lag02,158,0.029%
xoprq_revtq_lag04,158,0.029%
cogsq_revtq_lag08,158,0.029%
oancfy_q_qoq_lag12,158,0.029%
lctq_atq_lag12,158,0.029%
ltq_atq_lag15,158,0.029%
cogsq_revtq_lag19,158,0.029%
dvy_q_revtq_lag19,158,0.029%
txpq_atq_lag01,157,0.029%
doq_revtq_lag01,157,0.029%
xintq_revtq_lag01,157,0.029%
capxy_q_revtq_lag11,157,0.029%
req_yoy_lag03,156,0.028%
atq_yoy_lag07,156,0.028%
invtq_yoy_lag10,156,0.028%
txpq_atq_lag13,156,0.028%
niq_revtq_lag07,155,0.028%
atq_yoy_lag08,155,0.028%
req_yoy_lag09,155,0.028%
tstkq_atq,154,0.028%
seqq_atq,153,0.028%
dpactq_qoq_lag01,153,0.028%
wcapq_yoy_lag14,153,0.028%
cogsq_revtq_lag02,152,0.028%
dpq_revtq_lag03,152,0.028%
xrdq_yoy_lag10,152,0.028%
txpq_atq_lag10,152,0.028%
niq_revtq_lag11,152,0.028%
seqq_atq_lag14,152,0.028%
oancfy_q_revtq_lag16,152,0.028%
revtq_lag19,152,0.028%
oibdpq_revtq_lag06,151,0.028%
xoprq_revtq_lag06,151,0.028%
aoq_atq_lag09,151,0.028%
txpq_yoy_lag17,151,0.028%
actq_atq_lag19,151,0.028%
xoprq_revtq_lag19,151,0.028%
lctq_atq_lag03,150,0.027%
req_qoq_lag07,150,0.027%
acoq_atq_lag08,150,0.027%
dpq_revtq_lag09,150,0.027%
txtq_revtq_lag16,150,0.027%
dvy_q_qoq_lag01,149,0.027%
fincfy_q_revtq_lag10,149,0.027%
cogsq_revtq_lag13,149,0.027%
niq_revtq_lag14,149,0.027%
req_yoy_lag16,149,0.027%
xintq_revtq_lag18,149,0.027%
req_atq,148,0.027%
xsgaq_revtq_lag12,148,0.027%
invtq_yoy_lag03,147,0.027%
aoq_atq_lag04,147,0.027%
ppentq_atq,146,0.027%
seqq_atq_lag01,146,0.027%
xsgaq_revtq_lag01,146,0.027%
dpactq_revtq_lag04,146,0.027%
fincfy_q_revtq_lag13,146,0.027%
ltq_atq_lag14,146,0.027%
oancfy_q_qoq_lag17,146,0.027%
doq_revtq_lag02,145,0.026%
txpq_atq_lag07,145,0.026%
xrdq_yoy_lag12,145,0.026%
oancfy_q_qoq_lag13,145,0.026%
req_yoy_lag14,145,0.026%
ivltq_yoy_lag04,144,0.026%
dvy_q_qoq_lag10,144,0.026%
txpq_yoy_lag14,144,0.026%
niq_revtq_lag15,144,0.026%
atq_lag19,144,0.026%
dlttq_atq_lag01,143,0.026%
aoq_atq_lag06,143,0.026%
req_yoy_lag10,143,0.026%
xsgaq_revtq_lag11,143,0.026%
txtq_revtq_lag17,143,0.026%
ancq_atq,142,0.026%
revtq_lag03,142,0.026%
xintq_revtq_lag05,142,0.026%
lctq_atq_lag11,142,0.026%
fincfy_q_revtq_lag14,142,0.026%
fincfy_q_revtq_lag16,142,0.026%
invtq_yoy_lag09,141,0.026%
lltq_atq_lag12,141,0.026%
dvy_q_qoq_lag18,141,0.026%
lltq_atq_lag19,141,0.026%
txpq_atq_lag19,141,0.026%
fincfy_q_revtq_lag19,141,0.026%
cogsq_revtq_lag10,140,0.026%
rectq_atq_lag11,140,0.026%
req_atq_lag12,140,0.026%
txpq_atq_lag12,140,0.026%
txpq_yoy_lag13,140,0.026%
dpactq_revtq_lag15,140,0.026%
fincfy_q_revtq_lag15,140,0.026%
txpq_atq_lag16,140,0.026%
txpq_atq_lag18,140,0.026%
cheq_atq_lag04,139,0.025%
aoq_atq_lag13,139,0.025%
oancfy_q_qoq_lag14,139,0.025%
dvy_q_qoq_lag15,139,0.025%
xsgaq_revtq_lag19,139,0.025%
txpq_qoq,138,0.025%
oibdpq_revtq_lag05,138,0.025%
fincfy_q_revtq_lag09,138,0.025%
dlttq_yoy_lag12,138,0.025%
dpq_revtq_lag18,138,0.025%
req_qoq_lag01,137,0.025%
ivltq_yoy_lag03,137,0.025%
req_yoy_lag08,137,0.025%
dvy_q_revtq_lag16,137,0.025%
dpq_revtq_lag19,137,0.025%
atq,136,0.025%
seqq_atq_lag02,136,0.025%
cogsq_revtq_lag03,136,0.025%
atq_lag08,136,0.025%
invtq_qoq_lag12,136,0.025%
ltq_atq_lag18,136,0.025%
oibdpq_revtq_lag18,136,0.025%
dvy_q_revtq,135,0.025%
xoprq_revtq_lag07,135,0.025%
oancfy_q_revtq_lag12,135,0.025%
stkcoq_yoy_lag06,134,0.024%
dpq_revtq_lag08,134,0.024%
xintq_revtq_lag12,134,0.024%
dpq_revtq_lag14,134,0.024%
chechy_q_yoy_lag15,134,0.024%
dvy_q_qoq_lag02,133,0.024%
xsgaq_revtq_lag03,133,0.024%
xintq_revtq_lag07,133,0.024%
dpactq_revtq_lag10,133,0.024%
aoq_atq_lag05,132,0.024%
txpq_atq_lag06,132,0.024%
seqq_atq_lag08,132,0.024%
fincfy_q_yoy_lag11,132,0.024%
recchy_q_revtq,131,0.024%
dlttq_atq_lag02,131,0.024%
spiq_revtq_lag03,131,0.024%
rectq_atq_lag05,131,0.024%
lctq_atq_lag07,131,0.024%
seqq_atq_lag09,131,0.024%
dpactq_revtq_lag13,131,0.024%
xintq_revtq_lag16,131,0.024%
xoprq_revtq_lag16,131,0.024%
invtq_atq_lag19,131,0.024%
txpq_yoy_lag01,130,0.024%
revtq_lag02,130,0.024%
xoprq_revtq_lag05,130,0.024%
niq_revtq_lag08,130,0.024%
seqq_atq_lag13,130,0.024%
aoq_atq_lag15,130,0.024%
chechy_q_yoy_lag18,130,0.024%
txpq_yoy_lag19,130,0.024%
dpq_revtq_lag04,129,0.024%
lltq_atq_lag05,129,0.024%
dlttq_atq_lag15,129,0.024%
seqq_atq_lag15,129,0.024%
txpq_yoy_lag18,129,0.024%
atq_lag04,128,0.023%
oancfy_q_qoq_lag11,128,0.023%
cogsq_revtq_lag12,128,0.023%
dvy_q_revtq_lag17,128,0.023%
xsgaq_revtq_lag18,128,0.023%
chechy_q_yoy,127,0.023%
chechy_q_yoy_lag04,127,0.023%
dlttq_atq_lag09,127,0.023%
lctq_atq_lag10,127,0.023%
lltq_atq_lag10,127,0.023%
txpq_atq_lag15,127,0.023%
oancfy_q_qoq_lag16,127,0.023%
xrdq_qoq_lag04,126,0.023%
req_yoy_lag07,126,0.023%
txpq_yoy_lag08,126,0.023%
rectq_atq_lag10,126,0.023%
dvy_q_qoq_lag17,126,0.023%
dlttq_atq_lag17,126,0.023%
invtq_atq_lag01,125,0.023%
xrdq_yoy_lag02,125,0.023%
intanq_yoy_lag06,125,0.023%
dvy_q_qoq_lag07,125,0.023%
aoq_atq_lag07,125,0.023%
ltq_atq_lag10,125,0.023%
txpq_qoq_lag13,125,0.023%
actq_atq,124,0.023%
req_yoy_lag05,124,0.023%
rectq_atq_lag06,124,0.023%
txpq_yoy_lag09,124,0.023%
txpq_qoq_lag17,124,0.023%
invtq_atq_lag17,124,0.023%
ivltq_yoy,123,0.022%
rectq_atq_lag07,123,0.022%
ltq_atq_lag08,123,0.022%
txtq_revtq_lag13,123,0.022%
atq_lag15,123,0.022%
txpq_qoq_lag18,123,0.022%
tstkq_yoy_lag03,122,0.022%
cogsq_revtq_lag04,122,0.022%
xoprq_revtq_lag10,122,0.022%
stkcoq_qoq_lag11,122,0.022%
dpactq_revtq_lag11,122,0.022%
txpq_yoy,121,0.022%
dpactq_revtq_lag02,121,0.022%
dlttq_atq_lag04,121,0.022%
fincfy_q_revtq_lag05,121,0.022%
fincfy_q_revtq_lag08,121,0.022%
dlttq_atq_lag16,121,0.022%
lltq_atq_lag04,120,0.022%
fincfy_q_revtq_lag04,120,0.022%
revtq_lag09,120,0.022%
dvy_q_revtq_lag18,120,0.022%
dvy_q_revtq_lag01,119,0.022%
ancq_atq_lag03,119,0.022%
ltq_atq_lag07,119,0.022%
oibdpq_revtq_lag07,119,0.022%
ltq_atq_lag12,119,0.022%
ppentq_atq_lag19,119,0.022%
intanq_yoy,118,0.022%
txpq_atq_lag02,118,0.022%
atq_lag03,118,0.022%
ltq_atq_lag04,118,0.022%
dlttq_atq_lag05,118,0.022%
txpq_atq_lag05,118,0.022%
req_yoy_lag06,118,0.022%
txtq_revtq_lag06,118,0.022%
xsgaq_revtq_lag14,118,0.022%
fincfy_q_revtq_lag17,118,0.022%
oibdpq_revtq_lag17,118,0.022%
tstkq_yoy_lag02,117,0.021%
ivltq_yoy_lag05,117,0.021%
atq_lag06,117,0.021%
txpq_qoq_lag07,117,0.021%
req_qoq_lag11,117,0.021%
req_atq_lag17,117,0.021%
txpq_qoq_lag01,116,0.021%
xsgaq_revtq_lag07,116,0.021%
chechy_q_qoq_lag11,116,0.021%
seqq_atq_lag11,116,0.021%
intanq_yoy_lag12,116,0.021%
dpq_revtq_lag16,116,0.021%
dpq_revtq_lag17,116,0.021%
revtq_lag01,115,0.021%
oibdpq_revtq_lag02,115,0.021%
xintq_revtq_lag04,115,0.021%
txpq_yoy_lag10,115,0.021%
oibdpq_revtq_lag14,115,0.021%
rectq_atq_lag15,115,0.021%
xintq_revtq_lag17,115,0.021%
gdwlq_yoy_lag19,115,0.021%
lltq_atq_lag03,114,0.021%
atq_lag07,114,0.021%
rectq_atq_lag08,114,0.021%
lltq_atq_lag01,113,0.021%
xintq_revtq_lag02,113,0.021%
stkcoq_qoq_lag03,113,0.021%
gdwlq_yoy_lag03,113,0.021%
atq_lag05,113,0.021%
seqq_atq_lag05,113,0.021%
revtq_lag06,113,0.021%
ppentq_atq_lag08,113,0.021%
xrdq_yoy_lag11,113,0.021%
fincfy_q_yoy_lag13,113,0.021%
atq_lag14,113,0.021%
dpactq_revtq_lag14,113,0.021%
xsgaq_revtq_lag15,113,0.021%
revtq_lag16,113,0.021%
invtq_atq_lag16,113,0.021%
xintq_revtq_lag06,112,0.020%
xsgaq_revtq_lag09,112,0.020%
dvy_q_qoq_lag14,112,0.020%
fincfy_q_qoq_lag18,112,0.020%
chechy_q_yoy_lag19,112,0.020%
ivltq_yoy_lag19,112,0.020%
chechy_q_qoq_lag05,111,0.020%
txpq_yoy_lag05,111,0.020%
ppentq_atq_lag09,111,0.020%
oibdpq_revtq_lag16,111,0.020%
ancq_atq_lag17,111,0.020%
revtq_lag18,111,0.020%
fincfy_q_yoy_lag18,111,0.020%
dlttq_atq_lag19,111,0.020%
oibdpq_revtq_lag03,110,0.020%
gdwlq_yoy_lag04,110,0.020%
ltq_atq_lag05,110,0.020%
chechy_q_yoy_lag06,110,0.020%
lltq_atq_lag06,110,0.020%
lltq_atq_lag09,110,0.020%
ltq_atq_lag09,110,0.020%
dpq_revtq_lag11,110,0.020%
revtq_lag12,110,0.020%
revtq_lag13,110,0.020%
txpq_atq_lag14,110,0.020%
revtq_lag05,109,0.020%
dpq_revtq_lag05,109,0.020%
xrdq_revtq_lag08,109,0.020%
dpq_revtq_lag13,109,0.020%
xrdq_yoy_lag14,109,0.020%
txpq_yoy_lag15,109,0.020%
ancq_atq_lag16,109,0.020%
xrdq_qoq_lag17,109,0.020%
ppentq_atq_lag01,108,0.020%
xsgaq_revtq_lag02,108,0.020%
ivltq_yoy_lag07,108,0.020%
txpq_atq_lag08,108,0.020%
oibdpq_revtq_lag11,108,0.020%
actq_atq_lag01,107,0.020%
ltq_atq_lag03,107,0.020%
atq_lag09,107,0.020%
req_atq_lag10,107,0.020%
oibdpq_revtq_lag04,106,0.019%
ppentq_atq_lag15,106,0.019%
actq_atq_lag16,106,0.019%
atq_lag17,106,0.019%
xsgaq_revtq_lag06,105,0.019%
invchy_q_yoy_lag07,105,0.019%
dlttq_atq_lag08,105,0.019%
revtq_lag10,105,0.019%
chechy_q_yoy_lag11,105,0.019%
actq_atq_lag18,105,0.019%
dlttq_atq_lag18,105,0.019%
dlttq_atq_lag10,104,0.019%
seqq_atq_lag12,104,0.019%
xrdq_yoy_lag17,104,0.019%
tstkq_qoq,103,0.019%
atq_lag01,103,0.019%
xrdq_revtq_lag01,103,0.019%
stkcoq_revtq_lag02,103,0.019%
stkcoq_yoy_lag05,103,0.019%
seqq_atq_lag06,103,0.019%
fincfy_q_yoy_lag07,103,0.019%
lltq_atq_lag11,103,0.019%
chechy_q_yoy_lag14,103,0.019%
req_atq_lag18,103,0.019%
xsgaq_revtq_lag04,102,0.019%
xrdq_revtq_lag05,102,0.019%
dvy_q_qoq_lag08,102,0.019%
intanq_yoy_lag10,102,0.019%
ltq_atq_lag13,102,0.019%
ltq_atq_lag16,102,0.019%
invtq_atq_lag18,102,0.019%
recdq_yoy,101,0.018%
txpq_yoy_lag02,101,0.018%
ivltq_yoy_lag06,101,0.018%
invchy_q_yoy_lag18,101,0.018%
fincfy_q_yoy_lag19,101,0.018%
gdwlq_yoy,100,0.018%
stkcoq_yoy_lag09,100,0.018%
xrdq_yoy_lag09,100,0.018%
atq_lag13,100,0.018%
ivltq_yoy_lag13,100,0.018%
xrdq_revtq_lag14,100,0.018%
revtq_lag15,100,0.018%
oibdpq_revtq_lag15,100,0.018%
xintq_revtq_lag15,100,0.018%
atq_lag16,100,0.018%
xrdq_yoy_lag01,99,0.018%
ivncfy_q_revtq_lag01,99,0.018%
recchy_q_revtq_lag01,99,0.018%
intanq_yoy_lag04,99,0.018%
ivltq_yoy_lag09,99,0.018%
ppentq_atq_lag10,99,0.018%
oibdpq_revtq_lag13,99,0.018%
recchy_q_yoy,98,0.018%
xrdq_revtq,98,0.018%
dpq_revtq_lag06,98,0.018%
fincfy_q_revtq_lag06,98,0.018%
recchy_q_revtq_lag06,98,0.018%
revtq_lag08,98,0.018%
xintq_revtq_lag10,98,0.018%
stkcoq_yoy_lag11,98,0.018%
txpq_yoy_lag11,98,0.018%
dlttq_atq_lag11,98,0.018%
dpactq_revtq_lag12,98,0.018%
fincfy_q_revtq_lag12,98,0.018%
xrdq_yoy_lag13,98,0.018%
ppentq_atq_lag16,98,0.018%
txpq_qoq_lag19,98,0.018%
actq_atq_lag02,97,0.018%
stkcoq_revtq_lag03,97,0.018%
fincfy_q_yoy_lag04,97,0.018%
xsgaq_revtq_lag05,97,0.018%
stkcoq_qoq_lag07,97,0.018%
ppentq_atq_lag07,97,0.018%
lltq_atq_lag08,97,0.018%
xintq_revtq_lag08,97,0.018%
dvy_q_qoq_lag11,97,0.018%
chechy_q_yoy_lag13,97,0.018%
xintq_revtq_lag13,97,0.018%
revtq_lag14,97,0.018%
txpq_yoy_lag16,97,0.018%
req_atq_lag16,97,0.018%
recchy_q_revtq_lag16,97,0.018%
ivchy_q_yoy_lag18,97,0.018%
seqq_atq_lag18,97,0.018%
stkcoq_qoq,96,0.018%
acomincq_yoy,96,0.018%
req_atq_lag02,96,0.018%
actq_atq_lag03,96,0.018%
ppentq_atq_lag04,96,0.018%
oibdpq_revtq_lag08,96,0.018%
atq_lag10,96,0.018%
txpq_qoq_lag12,96,0.018%
lltq_atq_lag13,96,0.018%
ancq_atq_lag18,96,0.018%
dvy_q_qoq_lag19,96,0.018%
ppentq_atq_lag02,95,0.017%
req_atq_lag04,95,0.017%
seqq_atq_lag04,95,0.017%
intanq_yoy_lag07,95,0.017%
